"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bahrain","BHR","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0109","89.9999","","95.0001","95.1549","99","94.452","98.5075","99.3165","100","100","100","100","","",
"Bahamas, The","BHS","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.0357","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.314","62.4875","68.3368","67.4523","69.3125","72.6616","76.9687","83.0098","","",
"Belarus","BLR","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0547","29.3694","37.25","44.8653","51.4711","56.505","60.1881","70.9127","74.5505","79.0091","83.0301","85.7483","87.5447","90.1402","92.1169","","",
"Belize","BLZ","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.3996","","","","","","","","","","","","","","","",
"Bermuda","BMU","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9665","","","","34.2187","32.1849","34.4719","","","41.6667","44.4308","58.0403","63.7076","","","","",
"Brazil","BRA","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.9472","40.2503","","","52.8162","54.1797","57.5621","61.1209","67.3369","70.0151","73.4729","84.9105","79.7915","81.1465","85.6558","","",
"Barbados","BRB","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.9998","","","99.7502","","","","","","",
"Bhutan","BTN","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2535","","","","",
"Botswana","BWA","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.7539","","","","","","","","","","","",
"Central African Republic","CAF","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.3","","79.7","79.1717","","","","","","","","","","","","94","","","",
"Central Europe and the Baltics","CEB","Individuals using the Internet, female (% of female population)","IT.NET.USER.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
