Country Name,Country Code,Year,GDP_Per_Capita,Female_Usage_Pct,Male_Usage_Pct,Internet_Usage_Pct,Region,Cost_1GB_USD,Affordability_Pct
Ghana,GHA,2000,253.746936203344,,,0.153615,SUB-SAHARAN AFRICA,,
Gibraltar,GIB,2000,,,,19.1316,WESTERN EUROPE,,
Guinea,GIN,2000,518.157066924026,,,0.0954249,SUB-SAHARAN AFRICA,,
Gambia,GMB,2000,538.054072348854,,,0.921795,SUB-SAHARAN AFRICA,,
Guinea-Bissau,GNB,2000,316.945495037639,,,0.230103,SUB-SAHARAN AFRICA,,
Equatorial Guinea,GNQ,2000,1487.3165506701,,,0.132355,SUB-SAHARAN AFRICA,,
Greece,GRC,2000,11638.2010697215,,,9.13884,WESTERN EUROPE,,
Grenada,GRD,2000,4839.82811114248,,,4.06391,CARIBBEAN,,
Greenland,GRL,2000,19009.0774407515,,,31.7478,NORTHERN AMERICA,,
Guatemala,GTM,2000,1648.96578971559,,,0.712333,CENTRAL AMERICA,,
Guam,GUM,2000,,,,16.1131,OCEANIA,,
Guyana,GUY,2000,931.796651718955,,,0.6,SOUTH AMERICA,,
High income,HIC,2000,22374.3254750161,,,,,,
Hong Kong,HKG,2000,25756.7728723704,,,27.8278,ASIA (EX. NEAR EAST),,
Honduras,HND,2000,1092.56400746252,,,1.20386,CENTRAL AMERICA,,
Heavily indebted poor countries (HIPC),HPC,2000,377.459385908018,,,,,,
Croatia,HRV,2000,4953.65158789022,,,6.64488,EASTERN EUROPE,,
Haiti,HTI,2000,820.600046761464,,,0.231271,CARIBBEAN,,
Hungary,HUN,2000,4629.91760812548,,,6.99968,EASTERN EUROPE,,
IBRD only,IBD,2000,1477.69257780304,,,,,,
IDA & IBRD total,IBT,2000,1251.80798458527,,,,,,
IDA total,IDA,2000,458.298938832863,,,,,,
IDA blend,IDB,2000,619.821306002405,,,,,,
Indonesia,IDN,2000,763.711124950924,,,0.925564,ASIA (EX. NEAR EAST),,
IDA only,IDX,2000,372.859415968736,,,,,,
Isle of Man,IMN,2000,21161.3963073772,,,,WESTERN EUROPE,,
